Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10287","","","None","192.168.16.1","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.160.192.28 to 192.168.16.1 : 
10.160.192.28
10.160.192.30
192.168.16.1

Hop Count: 2
"
"10863","","","None","192.168.16.1","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: ASA Temporary Self Signed Certificate

Issuer Name: 

Common Name: ASA Temporary Self Signed Certificate

Serial Number: 02 E2 F9 59 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Nov 01 15:02:26 2017 GMT
Not Valid After: Oct 30 15:02:26 2027 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 B5 C1 03 B3 86 0B 67 B4 17 34 A6 2A 47 B4 B1 21 C1 D4 83 
            C5 F5 48 1B 5C D6 CB 23 7F 40 DE 72 F6 87 0B 60 FF 62 80 BE 
            DC 01 42 DE DD B9 F2 CD C2 74 00 32 FF 24 4E D1 CA EB 32 86 
            8E 5D A6 C3 10 7C DC D9 72 5A D0 AB 40 3E 0B 00 56 58 AE AB 
            BD AE 3F 4F 05 84 B5 DA C9 F8 16 76 48 7A 6C 9B D1 19 F1 B5 
            99 F3 73 3E 78 CD 23 87 5F DC 50 BD 5C F7 25 C4 65 B7 C7 AD 
            55 37 7B 93 6F C9 EC 89 4C 5A AC 89 FA 56 9D C0 CA 77 55 75 
            54 85 37 4E 3C 34 3F 69 B1 06 0E EE A5 A3 5B 61 5F 91 45 D7 
            4F 45 1E 8F 8E D3 86 7F F9 BB 57 3B 3B B0 25 91 9D 11 6D C2 
            15 49 77 C6 C5 5F 9E F9 4F B1 6E B8 42 40 68 CD A7 45 3A 9D 
            95 18 81 4D 7C 0B 63 33 34 03 D8 B3 39 B3 E6 F7 FF BB 36 9B 
            BE 4E B7 21 14 02 8F 0E EB 3A 7D 59 E3 BC 4F BA A3 8F 06 27 
            82 3D 7D 48 EF AE CC 85 B9 7F 8E 39 FA 5F 10 50 7D 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 58 64 57 42 2B FB 86 E0 98 99 97 68 FB 31 AE F2 F6 EA 63 
           E3 43 4B 67 38 E9 25 68 37 E2 BF 60 54 83 CC 3B 59 77 58 9A 
           B9 E9 59 60 09 9E 54 AD C4 D3 A7 5A B4 C4 76 2F 75 AB 4A 30 
           FE AD 7E 7E DE E0 4B 2C 46 CC C4 36 B0 98 DC 53 B5 18 07 C6 
           5C B6 00 2C 91 8B E8 A8 D8 E8 0A C7 83 F4 CA 7D E0 C4 8D 3A 
           E7 2A E2 C5 0C 96 BD 69 D7 4C 69 C6 E5 3B EE 34 C8 03 AD 6C 
           2B B8 63 48 F1 3B 1D 5D 5F FB DB 55 77 53 B2 91 41 59 E6 5E 
           D9 74 EC 34 9C A2 70 5B 5C 4F E1 58 00 AD 7A 85 BE 4B C7 54 
           9C 09 12 20 C3 39 70 07 49 D5 2C CA F1 E3 9E EC 9A 83 97 63 
           E9 D0 3D 14 7C A9 CE ED 1D A6 22 01 C1 1A 55 EE 11 D6 23 1F 
           8A 2A CB 7D 38 5A 3D 90 CD 42 BB 2F 5C B7 22 A3 52 FB 1B FC 
           51 3A 79 AD B4 A1 47 27 C9 91 70 59 D9 7C 11 D2 17 51 1D 1A 
           08 C3 8A F6 D7 46 C5 C4 BC 5B 24 F6 27 96 A1 75 1E 

Fingerprints : 

SHA-256 Fingerprint: FE 14 89 D0 3C C2 99 BC 8D C4 21 66 D2 AE 10 BE 48 32 C0 54 
                     B3 EE C8 15 8B 7D 91 2B 0E F1 F1 AD 
SHA-1 Fingerprint: A8 4B C3 8D 4D 92 7C E4 5A 04 EE 7F 84 89 50 B2 16 39 0A D7 
MD5 Fingerprint: 85 FB E8 98 68 02 65 8D C2 FA EF A5 08 40 56 2E 

"
"11219","","","None","192.168.16.1","tcp","23","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 23/tcp was found to be open"
"11219","","","None","192.168.16.1","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open"
"11219","","","None","192.168.16.1","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open"
"11936","","","None","192.168.16.1","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : HP JetDirect Printer
Nortel Switch
RICOH Printer
SonicOS 3.1
Confidence level : 54
Method : SinFP

 
The remote host is running one of these operating systems : 
HP JetDirect Printer
Nortel Switch
RICOH Printer
SonicOS 3.1"
"19506","","","None","192.168.16.1","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - Whether credentialed or third-party patch management
    checks are possible.
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 6.10.9
Plugin feed version : 201711061215
Scanner edition used : Nessus
Scan type : Normal
Scan policy used : Advanced Scan
Scanner IP : 10.160.192.28
Port scanner(s) : nessus_syn_scanner 
Port range : default
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
CGI scanning : enabled
Web application tests : disabled
Max hosts : 5
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan Start Date : 2017/11/13 7:16 Pacific Standard Time
Scan duration : 593 sec
"
"21643","","","None","192.168.16.1","tcp","443","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This plugin detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","https://www.openssl.org/docs/man1.1.0/apps/ciphers.html
http://www.nessus.org/u?3a040ada","
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv12
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    DES-CBC3-SHA                 Kx=RSA         Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   

  High Strength Ciphers (>= 112-bit key)

    DHE-RSA-AES128-SHA256        Kx=DH          Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    DHE-RSA-AES256-SHA384        Kx=DH          Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    ECDHE-ECDSA-AES128-SHA256    Kx=ECDH        Au=ECDSA    Enc=AES-GCM(128)         Mac=SHA256  
    ECDHE-ECDSA-AES256-SHA384    Kx=ECDH        Au=ECDSA    Enc=AES-GCM(256)         Mac=SHA384  
    ECDHE-RSA-AES128-SHA256      Kx=ECDH        Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    ECDHE-RSA-AES256-SHA384      Kx=ECDH        Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    RSA-AES128-SHA256            Kx=RSA         Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    RSA-AES256-SHA384            Kx=RSA         Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    DHE-RSA-AES128-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    DHE-RSA-AES256-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    AES128-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    AES256-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    DHE-RSA-AES128-SHA256        Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    DHE-RSA-AES256-SHA256        Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA256  
    ECDHE-ECDSA-AES128-SHA256    Kx=ECDH        Au=ECDSA    Enc=AES-CBC(128)         Mac=SHA256  
    ECDHE-ECDSA-AES256-SHA384    Kx=ECDH        Au=ECDSA    Enc=AES-CBC(256)         Mac=SHA384  
    ECDHE-RSA-AES128-SHA256      Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    ECDHE-RSA-AES256-SHA384      Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA384  
    RSA-AES128-SHA256            Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    RSA-AES256-SHA256            Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA256  

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"22964","","","None","192.168.16.1","tcp","22","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","The service closed the connection without sending any data.
It might be protected by some sort of TCP wrapper."
"22964","","","None","192.168.16.1","tcp","23","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","The service closed the connection without sending any data.
It might be protected by some sort of TCP wrapper."
"22964","","","None","192.168.16.1","tcp","443","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A TLSv1.2 server answered on this port.
"
"42873","","5.0","Medium","192.168.16.1","tcp","443","SSL Medium Strength Cipher Suites Supported","The remote service supports the use of medium strength SSL ciphers.","The remote host supports the use of SSL ciphers that offer medium
strength encryption. Nessus regards medium strength as any encryption
that uses key lengths at least 64 bits and less than 112 bits, or else
that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength
encryption if the attacker is on the same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/","
Here is the list of medium strength SSL ciphers supported by the remote server :

  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    DES-CBC3-SHA                 Kx=RSA         Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"45590","","","None","192.168.16.1","tcp","0","Common Platform Enumeration (CPE)","It was possible to enumerate CPE names that matched on the remote
system.","By using information obtained from a Nessus scan, this plugin reports
CPE (Common Platform Enumeration) matches for various hardware and
software products found on a host. 

Note that if an official CPE is not available for the product, this
plugin computes the best possible CPE based on the information
available from the scan.","n/a","http://cpe.mitre.org/
https://nvd.nist.gov/products/cpe","
The remote operating system matched the following CPE : 

  cpe:/o:sonicwall:sonicos
"
