Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10287","","","None","192.168.16.1","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.160.192.28 to 192.168.16.1 : 
10.160.192.28
10.160.192.30
192.168.16.1

Hop Count: 2
"
"10863","","","None","192.168.16.1","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: ASA Temporary Self Signed Certificate

Issuer Name: 

Common Name: ASA Temporary Self Signed Certificate

Serial Number: 58 75 80 5A 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Feb 11 16:54:48 2018 GMT
Not Valid After: Feb 09 16:54:48 2028 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 AA AA AF 4B A2 08 0B D2 62 2F 38 90 A2 B7 A9 5B C0 0E 89 
            36 69 97 02 4C B4 78 5A F7 76 F8 CE 99 4E 8D 7A 1B 6E 6E F9 
            20 A8 D3 6F 0D AD A3 D7 AB 2D FF A9 66 46 95 6C 61 1C E0 0D 
            84 39 9A D1 93 15 49 55 CF 8A E3 4B CE 0C 41 7F 21 77 30 E0 
            9A F5 53 E1 66 07 68 5A 77 2A 5B 2B 7B 5B 6F 89 EF 23 69 99 
            5F 5E 87 7E E9 71 5A 59 70 DB E4 FD C9 50 3B 7F 23 EB 4D 99 
            99 C3 4B 3D 41 3E 7E 40 B8 C6 DD 37 A1 1E DA BA 1C 7B 24 4E 
            79 6F 55 52 2A 8B C1 0D 92 FD 9A 3E E4 5D E2 90 EC 60 E7 8B 
            78 BD 84 CD CC 5B 08 26 66 FC 72 86 5B CC A7 DF 61 0F 3E 0E 
            F9 52 5A 07 5B 0A E0 7F A8 60 67 CD 58 F9 E3 47 BD E2 AA 15 
            0A E3 1E 82 FA CC 2A DF B6 DD 67 13 3C 28 98 2F 10 5A 67 94 
            C1 AD B5 02 9E B0 F8 0E 2E 9A C5 9E EE E0 FD 41 BC 70 FE E8 
            EC DD 20 D0 69 2D 1B C6 FF 3B 77 C5 9E 23 D3 93 95 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 55 21 3B 5A EB C1 4E 9A 1A 0E C0 4D 91 DF 90 D0 FA A4 61 
           B4 8A 05 31 1E 06 8E 7D 96 53 73 F8 A5 69 5E 44 E8 32 40 12 
           E5 06 41 B0 27 50 34 A0 B0 D4 7B 9F D4 62 1E 5B D6 9A 6A 62 
           08 27 4E 7B 13 85 C1 A2 42 E3 3B AA 5F B8 AB B9 B5 EE 6E 7E 
           5C 70 C9 8B 6A 77 4F E9 96 1A CA C8 8E A1 B4 03 29 D0 AA 7D 
           DD B2 76 A0 5C 24 66 45 C8 59 B9 78 17 A3 C3 C3 37 BF D0 7E 
           F2 86 B3 47 A4 86 7C 30 76 70 3E C1 45 F2 93 34 E5 A4 16 9B 
           F4 FA CC 2D FA 6C C5 97 73 E3 B6 65 3D F6 48 F0 85 5B D1 F8 
           24 FA 96 DA C3 BB BD B8 79 33 23 52 BD 7D C0 27 0D 72 F4 74 
           91 B2 94 D0 FD 28 6A AD 34 37 BE 68 C7 7C C1 09 8A 90 F4 AD 
           9B 44 80 18 66 42 1F D6 63 5C 29 65 41 04 AE BE CC 08 23 0A 
           ED D5 B1 D9 9D B0 75 CF 7C AC AE 82 23 0A D2 2A 62 0A 72 32 
           CF A1 61 2C 2E 6F 4F 47 63 E3 10 A0 10 38 40 51 F9 

Fingerprints : 

SHA-256 Fingerprint: 74 0D F1 33 E7 C2 9A DB 1A BC CA 15 BC 16 72 49 1B 06 37 3C 
                     86 CE B9 B2 83 2B 2C 37 5A 1D 1F 07 
SHA-1 Fingerprint: 31 30 DC 5D F8 10 CE 56 67 E8 50 46 E3 D6 6B 88 70 09 A0 EB 
MD5 Fingerprint: BE 0D 74 EC 8D AE 01 7E 43 74 F6 CD 88 E1 EB BB 

"
"11219","","","None","192.168.16.1","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open"
"11219","","","None","192.168.16.1","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open"
"11219","","","None","192.168.16.1","tcp","23","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 23/tcp was found to be open"
"11936","","","None","192.168.16.1","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : HP JetDirect Printer
Nortel Switch
RICOH Printer
SonicOS 3.1
Confidence level : 54
Method : SinFP

 
The remote host is running one of these operating systems : 
HP JetDirect Printer
Nortel Switch
RICOH Printer
SonicOS 3.1"
"19506","","","None","192.168.16.1","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - Whether credentialed or third-party patch management
    checks are possible.
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 7.0.1
Plugin feed version : 201803022015
Scanner edition used : Nessus
Scan type : Normal
Scan policy used : Advanced Scan
Scanner IP : 10.160.192.28
Port scanner(s) : nessus_syn_scanner 
Port range : default
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan Start Date : 2018/3/5 13:56 EST
Scan duration : 520 sec
"
"21643","","","None","192.168.16.1","tcp","443","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This plugin detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","https://www.openssl.org/docs/man1.1.0/apps/ciphers.html
http://www.nessus.org/u?3a040ada","
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv12
  High Strength Ciphers (>= 112-bit key)

    DHE-RSA-AES128-SHA256        Kx=DH          Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    DHE-RSA-AES256-SHA384        Kx=DH          Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    ECDHE-ECDSA-AES128-SHA256    Kx=ECDH        Au=ECDSA    Enc=AES-GCM(128)         Mac=SHA256  
    ECDHE-ECDSA-AES256-SHA384    Kx=ECDH        Au=ECDSA    Enc=AES-GCM(256)         Mac=SHA384  
    ECDHE-RSA-AES128-SHA256      Kx=ECDH        Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    ECDHE-RSA-AES256-SHA384      Kx=ECDH        Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    RSA-AES128-SHA256            Kx=RSA         Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    RSA-AES256-SHA384            Kx=RSA         Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    DHE-RSA-AES128-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    DHE-RSA-AES256-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    AES128-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    AES256-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    DHE-RSA-AES128-SHA256        Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    DHE-RSA-AES256-SHA256        Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA256  
    ECDHE-ECDSA-AES128-SHA256    Kx=ECDH        Au=ECDSA    Enc=AES-CBC(128)         Mac=SHA256  
    ECDHE-ECDSA-AES256-SHA384    Kx=ECDH        Au=ECDSA    Enc=AES-CBC(256)         Mac=SHA384  
    ECDHE-RSA-AES128-SHA256      Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    ECDHE-RSA-AES256-SHA384      Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA384  
    RSA-AES128-SHA256            Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    RSA-AES256-SHA256            Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA256  

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"22964","","","None","192.168.16.1","tcp","22","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","The service closed the connection without sending any data.
It might be protected by some sort of TCP wrapper."
"22964","","","None","192.168.16.1","tcp","23","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","The service closed the connection without sending any data.
It might be protected by some sort of TCP wrapper."
"22964","","","None","192.168.16.1","tcp","443","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A TLSv1.2 server answered on this port.
"
"45590","","","None","192.168.16.1","tcp","0","Common Platform Enumeration (CPE)","It was possible to enumerate CPE names that matched on the remote
system.","By using information obtained from a Nessus scan, this plugin reports
CPE (Common Platform Enumeration) matches for various hardware and
software products found on a host. 

Note that if an official CPE is not available for the product, this
plugin computes the best possible CPE based on the information
available from the scan.","n/a","http://cpe.mitre.org/
https://nvd.nist.gov/products/cpe","
The remote operating system matched the following CPE : 

  cpe:/o:sonicwall:sonicos
"
"51192","","6.4","Medium","192.168.16.1","tcp","443","SSL Certificate Cannot Be Trusted","The SSL certificate for this service cannot be trusted.","The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.","Purchase or generate a proper certificate for this service.","http://www.itu.int/rec/T-REC-X.509/en
https://en.wikipedia.org/wiki/X.509","
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=ASA Temporary Self Signed Certificate
|-Issuer  : CN=ASA Temporary Self Signed Certificate
"
"56984","","","None","192.168.16.1","tcp","443","SSL / TLS Versions Supported","The remote service encrypts communications.","This plugin detects which SSL and TLS versions are supported by the
remote service for encrypting communications.","n/a","","
This port supports TLSv1.2.
"
"57041","","","None","192.168.16.1","tcp","443","SSL Perfect Forward Secrecy Cipher Suites Supported","The remote service supports the use of SSL Perfect Forward Secrecy
ciphers, which maintain confidentiality even if the key is stolen.","The remote host supports the use of SSL ciphers that offer Perfect
Forward Secrecy (PFS) encryption.  These cipher suites ensure that
recorded SSL traffic cannot be broken at a future date if the server's
private key is compromised.","n/a","http://www.openssl.org/docs/apps/ciphers.html
https://en.wikipedia.org/wiki/Diffie-Hellman_key_exchange
https://en.wikipedia.org/wiki/Perfect_forward_secrecy","
Here is the list of SSL PFS ciphers supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    DHE-RSA-AES128-SHA256        Kx=DH          Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    DHE-RSA-AES256-SHA384        Kx=DH          Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    ECDHE-ECDSA-AES128-SHA256    Kx=ECDH        Au=ECDSA    Enc=AES-GCM(128)         Mac=SHA256  
    ECDHE-ECDSA-AES256-SHA384    Kx=ECDH        Au=ECDSA    Enc=AES-GCM(256)         Mac=SHA384  
    ECDHE-RSA-AES128-SHA256      Kx=ECDH        Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    ECDHE-RSA-AES256-SHA384      Kx=ECDH        Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    DHE-RSA-AES128-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    DHE-RSA-AES256-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    DHE-RSA-AES128-SHA256        Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    DHE-RSA-AES256-SHA256        Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA256  
    ECDHE-ECDSA-AES128-SHA256    Kx=ECDH        Au=ECDSA    Enc=AES-CBC(128)         Mac=SHA256  
    ECDHE-ECDSA-AES256-SHA384    Kx=ECDH        Au=ECDSA    Enc=AES-CBC(256)         Mac=SHA384  
    ECDHE-RSA-AES128-SHA256      Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    ECDHE-RSA-AES256-SHA384      Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA384  

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"57582","","6.4","Medium","192.168.16.1","tcp","443","SSL Self-Signed Certificate","The SSL certificate chain for this service ends in an unrecognized
self-signed certificate.","The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.","Purchase or generate a proper certificate for this service.","","
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=ASA Temporary Self Signed Certificate
"
